JournalID,Date,Source,Account,Debit,Credit,Memo
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-BEN-BUILDER,6000 Wages and Salaries Expense,1172.10,,Gross wages Ben Builder
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-BEN-BUILDER,6010 Superannuation Expense,140.65,,SG expense Ben Builder
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-BEN-BUILDER,2300 PAYG Withholding Payable,,198.00,PAYG withheld
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-BEN-BUILDER,2310 Superannuation Payable,,140.65,SG liability
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-BEN-BUILDER,2320 Net Wages Payable,,974.10,Net wages payable
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-BEN-BUILDER,2320 Net Wages Payable,974.10,,Net wage bank payment clearing
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-BEN-BUILDER,1000 Bank Operating Account,,974.10,Net wage bank payment
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-BEN-BUILDER,2300 PAYG Withholding Payable,198.00,,PAYG remittance clearing
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-BEN-BUILDER,1000 Bank Operating Account,,198.00,PAYG remittance to ATO
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-BEN-BUILDER,2310 Superannuation Payable,140.65,,Super clearing house payment
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-BEN-BUILDER,1000 Bank Operating Account,,140.65,Super clearing house bank payment
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-AMARA-ENGINEER,6000 Wages and Salaries Expense,1730.77,,Gross wages Amara Engineer
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-AMARA-ENGINEER,6010 Superannuation Expense,207.69,,SG expense Amara Engineer
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-AMARA-ENGINEER,2300 PAYG Withholding Payable,,377.00,PAYG withheld
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-AMARA-ENGINEER,2310 Superannuation Payable,,207.69,SG liability
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-AMARA-ENGINEER,2320 Net Wages Payable,,1353.77,Net wages payable
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-AMARA-ENGINEER,2320 Net Wages Payable,1353.77,,Net wage bank payment clearing
